gem17,gem17name,fl17,bev17,kennziffer,name,krs17,
1001000,"Flensburg, Stadt",56.74,"88,519",1001000,"Flensburg, Stadt",1001000,"Flensburg, Stadt"
1002000,"Kiel, Landeshauptstadt",118.65,"247,943",1002000,"Kiel, Landeshauptstadt",1002000,"Kiel, Stadt"
1003000,"Lübeck, Hansestadt",214.21,"216,318",1003000,"Lübeck, Hansestadt",1003000,"Lübeck, Stadt"
1004000,"Neumünster, Stadt",71.63,"79,335",1004000,"Neumünster, Stadt",1004000,"Neumünster, Stadt"
1051001,Albersdorf,17.12,"3,717",1051975,Mitteldithmarschen,1051000,Dithmarschen
1051002,Arkebek,6.92,198,1051975,Mitteldithmarschen,1051000,Dithmarschen
1051003,Averlak,9.07,566,1051963,Burg-St. Michaelisdonn,1051000,Dithmarschen
1051004,Bargenstedt,11.9,939,1051975,Mitteldithmarschen,1051000,Dithmarschen
1051005,Barkenholm,5.11,160,1051969,Eider,1051000,Dithmarschen
1051006,Barlt,22.88,763,1051975,Mitteldithmarschen,1051000,Dithmarschen
1051008,Bergewöhrden,2.64,33,1051969,Eider,1051000,Dithmarschen
1051010,Brickeln,6.07,220,1051963,Burg-St. Michaelisdonn,1051000,Dithmarschen
1051011,"Brunsbüttel, Stadt",65.2,"12,704",1051011,"Brunsbüttel, Stadt",1051000,Dithmarschen
1051012,Buchholz,14.56,"1,010",1051963,Burg-St. Michaelisdonn,1051000,Dithmarschen
1051013,Büsum,8.48,"4,867",1051978,Büsum-Wesselburen,1051000,Dithmarschen
1051014,Büsumer Deichhausen,2.87,361,1051978,Büsum-Wesselburen,1051000,Dithmarschen
1051015,Bunsoh,11.75,782,1051975,Mitteldithmarschen,1051000,Dithmarschen
1051016,Burg (Dithmarschen),11.23,"4,141",1051963,Burg-St. Michaelisdonn,1051000,Dithmarschen
1051017,Busenwurth,10.09,316,1051975,Mitteldithmarschen,1051000,Dithmarschen
1051019,Dellstedt,21.77,741,1051969,Eider,1051000,Dithmarschen
1051020,Delve,15.84,696,1051969,Eider,1051000,Dithmarschen
1051021,Diekhusen-Fahrstedt,7.46,712,1051966,Marne-Nordsee,1051000,Dithmarschen
1051022,Dingen,7.02,621,1051963,Burg-St. Michaelisdonn,1051000,Dithmarschen
1051023,Dörpling,7.82,602,1051969,Eider,1051000,Dithmarschen
1051024,Eddelak,9.21,"1,361",1051963,Burg-St. Michaelisdonn,1051000,Dithmarschen
1051026,Eggstedt,12.79,745,1051963,Burg-St. Michaelisdonn,1051000,Dithmarschen
1051027,Elpersbüttel,30.17,865,1051975,Mitteldithmarschen,1051000,Dithmarschen
1051028,Epenwöhrden,13.52,786,1051975,Mitteldithmarschen,1051000,Dithmarschen
1051030,Fedderingen,9.69,286,1051969,Eider,1051000,Dithmarschen
1051032,Frestedt,10.33,344,1051963,Burg-St. Michaelisdonn,1051000,Dithmarschen
1051033,Friedrichsgabekoog,8.62,54,1051978,Büsum-Wesselburen,1051000,Dithmarschen
1051034,Friedrichskoog,53.35,"2,570",1051966,Marne-Nordsee,1051000,Dithmarschen
1051035,Gaushorn,6.45,170,1051969,Eider,1051000,Dithmarschen
1051036,Glüsing,4.69,110,1051969,Eider,1051000,Dithmarschen
1051037,Großenrade,10.4,470,1051963,Burg-St. Michaelisdonn,1051000,Dithmarschen
1051038,Groven,7.9,86,1051969,Eider,1051000,Dithmarschen
1051039,Gudendorf,6.04,376,1051975,Mitteldithmarschen,1051000,Dithmarschen
1051043,Hedwigenkoog,16.36,216,1051978,Büsum-Wesselburen,1051000,Dithmarschen
1051044,"Heide, Stadt",31.97,"21,699",1051044,"Heide, Stadt",1051000,Dithmarschen
1051045,Hellschen-Heringsand-Unterschaar,7.02,170,1051978,Büsum-Wesselburen,1051000,Dithmarschen
1051046,Helse,11.44,836,1051966,Marne-Nordsee,1051000,Dithmarschen
1051047,Hemme,16.53,493,1051969,Eider,1051000,Dithmarschen
1051048,Hemmingstedt,16.01,"2,863",1051972,Heider Umland,1051000,Dithmarschen
1051049,Hennstedt,21.93,"1,940",1051969,Eider,1051000,Dithmarschen
1051050,Hillgroven,3.6,65,1051978,Büsum-Wesselburen,1051000,Dithmarschen
1051051,Hochdonn,5.46,"1,101",1051963,Burg-St. Michaelisdonn,1051000,Dithmarschen
1051052,Hövede,2.94,61,1051969,Eider,1051000,Dithmarschen
1051053,Hollingstedt,9.74,293,1051969,Eider,1051000,Dithmarschen
1051054,Immenstedt,3.09,102,1051975,Mitteldithmarschen,1051000,Dithmarschen
1051057,Kaiser-Wilhelm-Koog,13.06,359,1051966,Marne-Nordsee,1051000,Dithmarschen
1051058,Karolinenkoog,17.55,149,1051969,Eider,1051000,Dithmarschen
1051060,Kleve,12.81,418,1051969,Eider,1051000,Dithmarschen
1051061,Krempel,4.83,595,1051969,Eider,1051000,Dithmarschen
1051062,Kronprinzenkoog,28.85,811,1051966,Marne-Nordsee,1051000,Dithmarschen
1051063,Krumstedt,15.89,510,1051975,Mitteldithmarschen,1051000,Dithmarschen
1051064,Kuden,11.37,607,1051963,Burg-St. Michaelisdonn,1051000,Dithmarschen
1051065,Lehe,18.63,"1,093",1051969,Eider,1051000,Dithmarschen
1051067,Lieth,4.66,382,1051972,Heider Umland,1051000,Dithmarschen
1051068,Linden,11.62,867,1051969,Eider,1051000,Dithmarschen
1051069,Lohe-Rickelshof,5.39,"2,075",1051972,Heider Umland,1051000,Dithmarschen
1051071,Lunden,4.65,"1,674",1051969,Eider,1051000,Dithmarschen
1051072,"Marne, Stadt",4.83,"5,832",1051966,Marne-Nordsee,1051000,Dithmarschen
1051073,Marnerdeich,1.31,404,1051966,Marne-Nordsee,1051000,Dithmarschen
1051074,"Meldorf, Stadt",21.26,"7,214",1051975,Mitteldithmarschen,1051000,Dithmarschen
1051075,Neuenkirchen,25.14,963,1051972,Heider Umland,1051000,Dithmarschen
