kennziffer,name,fl17,bev17,sgtyp,sgtyp_name,wo,,mittelb17,mittelb17name,ihk17,ihk17name
1001000,"Flensburg, Stadt",56.74,"88,519",20,Mittelstadt,1,West,10503,Flensburg,26,IHK Flensburg
1002000,"Kiel, Landeshauptstadt",118.65,"247,943",10,Großstadt,1,West,10303,Kiel,42,IHK zu Kiel
1003000,"Lübeck, Hansestadt",214.21,"216,318",10,Großstadt,1,West,10203,Lübeck,50,IHK zu Lübeck
1004000,"Neumünster, Stadt",71.63,"79,335",20,Mittelstadt,1,West,10304,Neumünster,42,IHK zu Kiel
1051011,"Brunsbüttel, Stadt",65.20,"12,704",30,Größere Kleinstadt,1,West,10403,Brunsbüttel,26,IHK Flensburg
1051044,"Heide, Stadt",31.97,"21,699",20,Mittelstadt,1,West,10401,Heide,26,IHK Flensburg
1051963,Burg-St. Michaelisdonn,153.27,"15,603",50,Landgemeinde,1,West,10403,Brunsbüttel,26,IHK Flensburg
1051966,Marne-Nordsee,175.75,"13,161",40,Kleine Kleinstadt,1,West,10403,Brunsbüttel,26,IHK Flensburg
1051969,Eider,361.38,"18,499",50,Landgemeinde,1,West,10401,Heide,26,IHK Flensburg
1051972,Heider Umland,156.93,"15,810",50,Landgemeinde,1,West,10401,Heide,26,IHK Flensburg
1051975,Mitteldithmarschen,339.68,"23,204",40,Kleine Kleinstadt,1,West,10402,Meldorf,26,IHK Flensburg
1051978,Büsum-Wesselburen,143.99,"12,767",50,Landgemeinde,1,West,10401,Heide,26,IHK Flensburg
1053032,"Geesthacht, Stadt",33.25,"30,407",20,Mittelstadt,1,West,10108,Geesthacht,50,IHK zu Lübeck
1053083,"Lauenburg/ Elbe, Stadt",9.55,"11,485",30,Größere Kleinstadt,1,West,10108,Geesthacht,50,IHK zu Lübeck
1053090,"Mölln, Stadt",25.05,"18,928",30,Größere Kleinstadt,1,West,10109,Mölln,50,IHK zu Lübeck
1053100,"Ratzeburg, Stadt",30.29,"14,595",30,Größere Kleinstadt,1,West,10110,Ratzeburg,50,IHK zu Lübeck
1053105,"Sachsenwald (Forstgutsbez.),gemfr.Geb.",58.49,0,50,Landgemeinde,1,West,10108,Geesthacht,50,IHK zu Lübeck
1053116,"Schwarzenbek, Stadt",11.56,"16,374",30,Größere Kleinstadt,1,West,10108,Geesthacht,50,IHK zu Lübeck
1053129,Wentorf bei Hamburg,6.87,"12,930",30,Größere Kleinstadt,1,West,10113,Reinbek/Glinde/Wentorf,50,IHK zu Lübeck
1053908,Berkenthin,76.84,"8,438",50,Landgemeinde,1,West,10110,Ratzeburg,50,IHK zu Lübeck
1053913,Breitenfelde,93.74,"6,527",50,Landgemeinde,1,West,10109,Mölln,50,IHK zu Lübeck
1053918,Büchen,193.06,"13,949",40,Kleine Kleinstadt,1,West,10109,Mölln,50,IHK zu Lübeck
1053923,Hohe Elbgeest,67.93,"20,202",50,Landgemeinde,1,West,10108,Geesthacht,50,IHK zu Lübeck
